incident_id,date,year,month,flight_number,airline,aircraft_type,severity,fatalities,location,description,is_fatal,is_geopolitical,is_boeing,is_airbus
AV032,2024-01-02,2024,1,JL516,Japan Airlines,A350,fatal_collision,5,"Tokyo Haneda, Japan",Collided with Coast Guard plane,1,0,0,1
AV031,2024-01-05,2024,1,AS1282,Alaska Airlines,B737 MAX 9,incident,0,"Portland, USA",Door plug blowout — Boeing crisis intensifies,0,0,1,0
AV033,2024-08-09,2024,8,ATR2283,Voepass,ATR 72,fatal_crash,62,"Vinhedo, Brazil",Flat spin crash,1,0,0,0
AV034,2024-12-25,2024,12,J28243,Azerbaijan Airlines,E190,fatal_crash,38,"Aktau, Kazakhstan",Hit by Russian air defense fire,1,0,0,0
AV035,2024-12-29,2024,12,7C2216,Jeju Air,B737-800,fatal_crash,179,"Muan, South Korea","Belly landing, deadliest in Korean history",1,0,1,0
AV036,2025-01-29,2025,1,AA5342,American/PSA,CRJ-700,fatal_collision,67,"Washington DC, USA",Mid-air collision with Army Black Hawk,1,0,0,0
AV037,2025-02-17,2025,2,DL4819,Delta Endeavor,CRJ-900,incident,0,"Toronto, Canada","Plane flipped on landing, all survived",0,0,0,0
AV038,2025-06-12,2025,6,AI171,Air India,B787-8,fatal_crash,241,"Ahmedabad, India",Crashed shortly after takeoff,1,0,1,0
AV039,2025-09-20,2025,9,BA38,British Airways,B777-200,incident,0,London-Heathrow,"Hydraulic failure, emergency landing",0,0,1,0
AV040,2026-02-15,2026,2,EK231,Emirates,A380,incident,0,Dubai-JFK,"Engine shutdown, diversion",0,0,0,1
